car_name,km_driven,manufactured_year,fuel_type,transmission,price
Maruti Ciaz,8.32k km,2023,Petrol,Auto,₹ 8.15 lakh
Maruti Wagon R 1.0,43.42k km,2017,Petrol,Manual,₹ 2.91 lakh
Maruti Ritz,99.20k km,2013,Petrol,Manual,₹ 1.65 lakh
Maruti FRONX,24.00k km,2023,Petrol,Auto,₹ 8.46 lakh
Maruti Ciaz,36.60k km,2022,Petrol,Manual,₹ 6.40 lakh
Maruti Celerio,1.2L km,2020,CNG,Manual,₹ 3.75 lakh
Maruti Celerio,91.09k km,2017,Petrol,Manual,₹ 2.58 lakh
Maruti Alto K10,51.53k km,2015,Petrol,Auto,₹ 1.93 lakh
Maruti Baleno,43.39k km,2016,Petrol,Manual,₹ 3.56 lakh
Maruti Swift,65.37k km,2017,Petrol,Manual,₹ 3.46 lakh
Maruti Swift,73.25k km,2012,Petrol,Manual,₹ 2.08 lakh
Maruti Dzire,50.71k km,2017,Diesel,Auto,₹ 4.95 lakh
Maruti Wagon R 1.0,70.70k km,2014,CNG,Manual,₹ 1.96 lakh
Maruti Baleno,33.86k km,2017,Petrol,Manual,₹ 4.02 lakh
Maruti Celerio,76.69k km,2020,CNG,Manual,₹ 3.70 lakh
Maruti Swift Dzire,98.75k km,2016,Petrol,Manual,₹ 3.10 lakh
Maruti Alto 800,25.89k km,2015,Petrol,Manual,₹ 1.85 lakh
Maruti Wagon R 1.0,50.78k km,2016,CNG,Manual,₹ 2.90 lakh
Maruti Ciaz,36.15k km,2021,Petrol,Manual,₹ 5.27 lakh
Maruti Dzire,94.70k km,2018,CNG,Auto,₹ 4.70 lakh
Maruti Wagon R 1.0,60.67k km,2013,Petrol,Manual,₹ 2.49 lakh
Maruti Alto,29.98k km,2021,CNG,Manual,₹ 3.11 lakh
Maruti Dzire,82.86k km,2017,Diesel,Manual,₹ 5.50 lakh
Maruti Swift,32.86k km,2017,Petrol,Manual,₹ 3.45 lakh
Maruti Swift Dzire,61.45k km,2016,Petrol,Auto,₹ 3.61 lakh
Maruti Wagon R 1.0,1.1L km,2012,CNG,Manual,₹ 1.75 lakh
Maruti Swift Dzire,34.74k km,2014,Petrol,Manual,₹ 3.12 lakh
Maruti Baleno,57.06k km,2023,Petrol,Auto,₹ 7.50 lakh
Maruti Wagon R 1.0,23.98k km,2016,Petrol,Auto,₹ 2.87 lakh
Maruti Baleno,53.61k km,2019,Petrol,Manual,₹ 4.50 lakh
Maruti XL6,28.27k km,2021,Petrol,Auto,₹ 9.00 lakh
Maruti Ertiga,55.72k km,2015,Petrol,Manual,₹ 4.92 lakh
Maruti Celerio,47.08k km,2017,Petrol,Auto,₹ 3.15 lakh
Maruti S PRESSO,11.55k km,2020,Petrol,Auto,₹ 3.44 lakh
Maruti Swift,36.30k km,2014,Petrol,Manual,₹ 3.15 lakh
Maruti IGNIS,26.86k km,2017,Petrol,Auto,₹ 3.79 lakh
Maruti Wagon R Stingray,1.3L km,2014,CNG,Manual,₹ 2.55 lakh
Maruti Ertiga,51.98k km,2018,Petrol,Manual,₹ 6.50 lakh
Maruti Celerio,59.27k km,2017,Petrol,Auto,₹ 3.10 lakh
Maruti Swift Dzire,56.49k km,2014,Petrol,Manual,₹ 3.10 lakh
Maruti Celerio,38.77k km,2017,Petrol,Auto,₹ 3.50 lakh
Maruti Wagon R 1.0,46.94k km,2015,CNG,Manual,₹ 2.70 lakh
Maruti Ertiga,42.67k km,2015,CNG,Manual,₹ 5.80 lakh
Maruti Wagon R 1.0,51.23k km,2014,CNG,Manual,₹ 2.40 lakh
Maruti S PRESSO,25.98k km,2021,Petrol,Manual,₹ 3.30 lakh
Maruti Alto K10,26.08k km,2023,CNG,Manual,₹ 4.38 lakh
Maruti New Wagon-R,25.94k km,2018,Petrol,Auto,₹ 3.60 lakh
Maruti Ertiga,41.66k km,2015,CNG,Manual,₹ 5.17 lakh
Maruti Celerio,49.87k km,2016,Petrol,Auto,₹ 3.15 lakh
Maruti Celerio,34.89k km,2022,CNG,Manual,₹ 4.45 lakh
Maruti Alto 800,94.91k km,2014,CNG,Manual,₹ 1.80 lakh
Maruti Alto K10,34.83k km,2016,CNG,Manual,₹ 2.20 lakh
Maruti Alto 800,28.73k km,2017,Petrol,Manual,₹ 2.40 lakh
Maruti BREZZA,37.72k km,2023,CNG,Manual,₹ 8.50 lakh
Maruti Ertiga,34.15k km,2017,Petrol,Manual,₹ 5.60 lakh
Maruti Swift Dzire,66.60k km,2015,Petrol,Manual,₹ 2.75 lakh
Maruti Dzire,43.22k km,2018,Diesel,Manual,₹ 6.78 lakh
Maruti Ertiga,51.24k km,2016,Petrol,Manual,₹ 5.50 lakh
Maruti Celerio,47.20k km,2015,Petrol,Manual,₹ 2.67 lakh
Maruti Dzire,68.95k km,2025,Petrol,Auto,₹ 4.75 lakh
Maruti Vitara Brezza,62.32k km,2016,Diesel,Manual,₹ 6.57 lakh
Maruti Wagon R 1.0,87.58k km,2012,Petrol,Manual,₹ 1.70 lakh
Maruti Wagon R 1.0,45.05k km,2016,Petrol,Auto,₹ 2.62 lakh
Maruti Vitara Brezza,27.76k km,2022,Petrol,Manual,₹ 6.46 lakh
Maruti Swift Dzire,97.35k km,2013,Petrol,Manual,₹ 3.34 lakh
Maruti Celerio,1.2L km,2020,Petrol,Manual,₹ 4.34 lakh
Maruti Alto K10,74.89k km,2018,Petrol,Manual,₹ 2.88 lakh
Maruti Swift Dzire,14.63k km,2013,Petrol,Manual,₹ 5.02 lakh
Maruti Baleno,28.93k km,2020,Petrol,Manual,₹ 5.64 lakh
Maruti Ertiga,23.51k km,2019,Petrol,Auto,₹ 8.17 lakh
Maruti Wagon R 1.0,55.22k km,2013,Petrol,Manual,₹ 2.36 lakh
Maruti Ertiga,1.6L km,2016,Petrol,Manual,₹ 7.32 lakh
Maruti Ritz,20.20k km,2010,Petrol,Manual,₹ 1.45 lakh
Maruti Wagon R 1.0,1.1L km,2011,Petrol,Manual,₹ 1.48 lakh
Maruti Ciaz,76.78k km,2015,Petrol,Manual,₹ 3.70 lakh
Maruti A Star,38.16k km,2012,Petrol,Auto,₹ 1.99 lakh
Maruti Swift Dzire,1.9L km,2015,Diesel,Manual,₹ 2.25 lakh
Maruti Wagon R 1.0,1.1L km,2012,Petrol,Manual,₹ 1.85 lakh
Maruti Alto 800,73.59k km,2013,Petrol,Manual,₹ 1.78 lakh
Maruti New Wagon-R,90.13k km,2020,Petrol,Manual,₹ 4.13 lakh
Maruti Wagon R 1.0,1.4L km,2013,Petrol,Manual,₹ 1.96 lakh
Maruti Swift Dzire,76.70k km,2016,Diesel,Manual,₹ 2.08 lakh
Maruti Wagon R 1.0,1.0L km,2013,Petrol,Manual,₹ 2.13 lakh
Maruti Alto 800,56.00k km,2013,Petrol,Manual,₹ 1.64 lakh
Maruti Wagon R 1.0,2.3L km,2013,Petrol,Manual,₹ 2.31 lakh
Maruti Alto 800,55.00k km,2014,Petrol,Manual,₹ 1.86 lakh
Maruti Ertiga,39.96k km,2023,Petrol,Manual,₹ 8.78 lakh
Maruti Wagon R 1.0,38.53k km,2013,Petrol,Manual,₹ 2.00 lakh
Maruti Swift Dzire,70.91k km,2013,Petrol,Auto,₹ 2.67 lakh
Maruti Swift Dzire,29.00k km,2013,Petrol,Manual,₹ 3.60 lakh
Maruti Alto K10,65.98k km,2017,Petrol,Manual,₹ 2.11 lakh
Maruti Vitara Brezza,94.08k km,2022,Petrol,Manual,₹ 6.51 lakh
Maruti Swift,42.55k km,2013,Petrol,Manual,₹ 3.60 lakh
Maruti Wagon R 1.0,91.19k km,2012,Petrol,Manual,₹ 1.78 lakh
Maruti Alto 800,1.2L km,2014,Petrol,Manual,₹ 1.75 lakh
Maruti Swift Dzire,39.84k km,2010,Petrol,Manual,₹ 2.06 lakh
Maruti Wagon R 1.0,97.83k km,2014,Petrol,Manual,₹ 2.44 lakh
Maruti Swift Dzire,44.24k km,2010,Diesel,Manual,₹ 2.07 lakh
